BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.01,1.00,28.34,-0.19,0.00,0.00,0.00,0.25,12.49,2.88,0.25,7.69,1.92,0.00,3.14,0.00,0.43,2.69,1.07,0.00
0.00,1.00,39.44,0.00,0.00,0.00,0.00,0.25,37.39,8.62,0.25,3.97,0.99,0.00,25.45,0.00,0.43,15.16,6.02,0.00
0.16,0.99,40.10,5.88,0.00,0.00,0.00,0.25,5.00,1.15,0.25,2.71,0.68,0.00,12.89,0.00,0.42,3.69,1.44,0.00
0.00,0.66,34.20,0.00,0.00,0.00,0.00,0.25,3.29,0.76,0.25,1.93,0.48,0.00,6.42,0.00,0.26,2.49,0.59,0.00
0.00,0.65,32.90,0.00,0.00,0.00,0.00,0.25,4.04,0.93,0.25,2.06,0.52,0.00,4.31,0.00,0.25,2.00,0.47,0.00
0.00,0.64,28.92,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.25,1.98,0.49,0.00,2.01,0.00,0.50,2.00,0.92,0.00
0.00,0.68,25.76,0.00,0.00,0.00,0.00,0.02,1.89,0.03,0.25,2.49,0.62,0.00,1.15,0.00,0.50,2.39,1.10,0.00
-0.14,0.71,24.07,-3.44,0.00,0.00,0.00,0.03,1.45,0.05,0.25,3.49,0.87,0.00,1.40,0.00,0.50,1.95,0.90,0.00
0.00,1.00,26.66,0.00,0.00,0.00,0.00,0.25,2.15,0.50,0.25,1.99,0.50,0.00,0.98,0.00,0.43,1.65,0.65,0.00
-0.01,0.99,23.48,-0.14,0.00,0.00,0.00,0.17,1.85,0.30,0.25,1.49,0.37,0.00,0.98,0.00,0.50,1.50,0.69,0.00
-0.01,1.00,23.84,-0.16,0.00,0.00,0.00,0.25,2.00,0.46,0.25,1.49,0.37,0.00,0.98,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,25.99,-0.18,0.00,0.00,0.00,0.25,1.94,0.45,0.25,1.49,0.37,0.00,0.98,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,26.80,-0.18,0.00,0.00,0.00,0.25,2.39,0.55,0.25,1.02,0.26,0.00,0.96,0.00,0.43,1.89,0.75,0.00
-0.01,1.00,32.99,-0.22,0.00,0.00,0.00,0.25,5.51,1.27,0.25,1.49,0.37,0.00,1.42,0.00,0.43,3.00,1.19,0.00
0.00,1.00,72.12,0.00,0.00,0.00,0.00,0.25,26.95,6.21,0.25,3.37,0.84,0.00,36.95,0.00,0.43,24.95,9.90,0.00
0.44,0.99,79.48,32.12,0.00,0.00,0.00,0.25,15.26,3.52,0.25,1.76,0.44,0.04,44.30,1.53,0.27,15.26,3.86,0.00
0.00,0.10,33.59,0.00,0.00,0.00,0.00,0.23,7.44,1.58,0.25,10.44,2.61,0.00,7.75,0.00,0.00,5.44,0.00,0.00
0.00,0.10,27.78,0.00,0.00,0.00,0.00,0.00,2.29,0.00,0.25,2.29,0.57,0.00,1.82,0.00,0.23,1.89,0.40,0.00
0.00,0.14,27.13,0.00,0.00,0.00,0.00,0.25,2.03,0.47,0.25,1.98,0.49,0.00,1.00,0.00,0.00,1.65,0.00,0.00
0.00,0.14,25.10,0.00,0.00,0.00,0.00,0.25,1.95,0.45,0.25,2.49,0.62,0.00,1.04,0.00,0.00,1.53,0.00,0.00
0.00,0.13,24.59,0.00,0.00,0.00,0.00,0.25,1.99,0.45,0.25,2.49,0.62,0.00,1.05,0.00,0.00,1.53,0.00,0.00
