BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
0.44,0.99,47.61,19.34,0.00,6.21,0.00,0.00,2.00,0.00,0.11,13.65,1.39,0.05,2.98,0.14,0.05,2.63,0.13,0.00
0.00,0.10,35.30,0.00,0.00,15.62,0.00,0.00,2.00,0.00,0.00,9.20,0.00,0.05,2.00,0.09,0.05,4.98,0.25,0.00
0.00,0.10,24.90,0.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
-0.00,0.10,20.32,-0.00,0.00,2.50,0.00,0.00,1.50,0.00,0.00,1.45,0.00,0.05,2.00,0.09,0.05,1.25,0.06,0.00
0.00,0.10,19.18,0.00,0.00,1.70,0.00,0.00,1.50,0.00,0.00,1.50,0.00,0.05,2.10,0.10,0.05,1.25,0.06,0.00
-0.49,0.10,17.02,-8.27,0.00,1.40,0.00,0.00,1.40,0.00,0.00,1.48,0.00,0.05,1.98,0.09,0.05,0.13,0.01,0.00
0.00,1.00,16.65,0.00,0.00,1.28,0.00,0.45,1.28,0.53,0.00,1.48,0.00,0.05,1.97,0.09,0.05,1.25,0.06,0.00
-0.01,0.99,15.58,-0.15,0.00,1.15,0.00,0.44,1.15,0.47,0.00,1.50,0.00,0.05,1.62,0.07,0.05,1.25,0.06,0.00
-0.00,1.00,15.38,-0.08,0.00,1.20,0.00,0.45,1.20,0.50,0.00,1.50,0.00,0.05,1.72,0.08,0.05,1.25,0.06,0.00
-0.00,1.00,19.65,-0.10,0.00,1.70,0.00,0.45,1.70,0.70,0.00,2.04,0.00,0.05,4.99,0.23,0.05,0.22,0.01,0.00
0.44,1.00,45.00,18.38,0.00,7.99,0.00,0.45,5.00,2.06,0.00,5.09,0.00,0.05,15.00,0.69,0.05,2.24,0.11,0.00
0.00,0.10,36.03,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,0.05,2.50,0.11,0.05,1.13,0.06,0.00
0.00,0.10,30.58,0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,2.72,0.00,0.05,2.00,0.09,0.05,0.73,0.04,0.00
-0.00,0.10,26.30,-0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,2.72,0.00,0.05,1.83,0.08,0.05,0.09,0.00,0.00
-0.00,0.10,22.41,-0.00,0.00,1.49,0.00,0.00,1.49,0.00,0.00,2.00,0.00,0.05,2.00,0.09,0.05,0.32,0.02,0.00
-0.00,0.10,18.79,-0.00,0.00,0.95,0.00,0.00,1.01,0.00,0.00,0.99,0.00,0.05,1.34,0.06,0.05,1.49,0.07,0.00
-0.49,0.10,17.17,-8.34,0.00,0.94,0.00,0.00,1.00,0.00,0.00,0.99,0.00,0.05,1.33,0.06,0.05,1.53,0.08,0.00
-0.00,1.00,17.95,-0.09,0.00,0.81,0.00,0.45,1.00,0.41,0.00,0.82,0.00,0.05,1.33,0.06,0.05,1.51,0.08,0.00
-0.00,1.00,17.75,-0.09,0.00,0.88,0.00,0.45,1.00,0.41,0.00,0.82,0.00,0.05,1.33,0.06,0.05,1.49,0.07,0.00
-0.00,1.00,18.14,-0.09,0.00,0.88,0.00,0.45,1.00,0.41,0.00,0.99,0.00,0.05,1.45,0.07,0.05,1.25,0.06,0.00
-0.00,1.00,19.30,-0.10,0.00,0.94,0.00,0.45,1.00,0.41,0.00,0.99,0.00,0.05,1.46,0.07,0.05,1.25,0.06,0.00
-0.00,1.00,20.04,-0.10,0.00,0.94,0.00,0.45,1.00,0.41,0.00,0.99,0.00,0.05,2.39,0.11,0.05,1.25,0.06,0.00
-0.00,1.00,22.14,-0.11,0.00,0.87,0.00,0.45,1.00,0.41,0.00,1.17,0.00,0.05,4.99,0.23,0.05,1.62,0.08,0.00
0.00,1.00,30.04,0.00,0.00,2.04,0.00,0.45,2.00,0.83,0.00,2.04,0.00,0.05,3.98,0.18,0.05,2.00,0.10,0.00
0.00,0.99,28.23,0.00,0.00,3.00,0.00,0.44,2.00,0.82,0.00,2.14,0.00,0.05,2.33,0.11,0.05,2.25,0.11,0.00
0.00,0.98,21.23,0.00,0.22,5.49,1.11,0.00,2.00,0.00,0.00,2.15,0.00,0.05,3.19,0.15,0.05,11.34,0.57,0.00
0.00,0.97,18.37,0.00,0.00,3.88,0.00,0.44,2.00,0.80,0.00,2.00,0.00,0.05,2.33,0.11,0.05,2.69,0.13,0.00
0.00,0.96,16.64,0.00,0.00,2.68,0.00,0.43,1.50,0.59,0.00,1.45,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.96,14.95,0.00,0.00,2.00,0.00,0.43,1.50,0.59,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.95,11.74,0.00,0.00,1.95,0.00,0.42,1.50,0.58,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.04,0.94,10.22,-0.39,0.00,1.55,0.00,0.42,1.47,0.56,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.00,1.00,10.13,-0.05,0.00,1.96,0.00,0.45,1.40,0.58,0.00,1.50,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.00,1.00,12.94,-0.06,0.00,1.40,0.00,0.45,1.40,0.58,0.00,1.45,0.00,0.05,2.25,0.10,0.05,2.00,0.10,0.00
-0.00,1.00,16.68,-0.08,0.00,2.00,0.00,0.45,1.50,0.62,0.00,1.70,0.00,0.05,3.58,0.16,0.05,2.00,0.10,0.00
0.00,1.00,29.00,0.00,0.00,6.00,0.00,0.45,5.00,2.06,0.00,2.00,0.00,0.05,7.90,0.36,0.05,4.16,0.21,0.00
0.00,0.99,24.38,0.00,0.00,2.00,0.00,0.44,1.67,0.68,0.00,1.17,0.00,0.05,2.00,0.09,0.05,1.59,0.08,0.00
-0.01,0.98,20.67,-0.30,0.00,1.95,0.00,0.44,1.50,0.61,0.00,1.17,0.00,0.05,2.00,0.09,0.05,1.54,0.08,0.00
0.00,1.00,21.07,0.00,0.00,1.95,0.00,0.45,1.50,0.62,0.00,1.15,0.00,0.05,1.83,0.08,0.05,1.56,0.08,0.00
0.00,0.99,19.62,0.00,0.00,1.28,0.00,0.44,1.28,0.52,0.00,0.99,0.00,0.05,1.80,0.08,0.05,2.00,0.10,0.00
0.00,0.98,18.56,0.00,0.00,0.95,0.00,0.44,1.00,0.40,0.00,0.94,0.00,0.05,1.15,0.05,0.05,2.00,0.10,0.00
0.00,0.97,18.07,0.00,0.00,0.94,0.00,0.44,1.00,0.40,0.00,0.94,0.00,0.05,1.33,0.06,0.05,2.00,0.10,0.00
-0.02,0.96,16.50,-0.40,0.00,0.88,0.00,0.43,1.00,0.40,0.00,0.81,0.00,0.05,1.49,0.07,0.05,4.98,0.25,0.00
-0.00,1.00,16.04,-0.08,0.00,0.94,0.00,0.45,1.00,0.41,0.00,0.81,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
-0.00,1.00,15.83,-0.08,0.00,0.94,0.00,0.45,1.00,0.41,0.00,0.98,0.00,0.05,1.60,0.07,0.05,4.98,0.25,0.00
-0.00,1.00,16.45,-0.08,0.00,0.95,0.00,0.45,1.00,0.41,0.00,0.98,0.00,0.05,1.55,0.07,0.05,4.98,0.25,0.00
-0.00,1.00,18.37,-0.09,0.00,1.00,0.00,0.45,1.00,0.41,0.00,0.98,0.00,0.05,2.39,0.11,0.05,2.00,0.10,0.00
0.00,1.00,22.11,0.00,0.00,0.90,0.00,0.45,1.01,0.42,0.00,1.12,0.00,0.05,2.52,0.12,0.05,1.56,0.08,0.00
0.00,0.99,28.35,0.00,0.00,2.00,0.00,0.44,2.00,0.82,0.00,2.15,0.00,0.05,2.99,0.14,0.05,1.25,0.06,0.00
0.00,0.98,28.24,0.12,0.00,2.49,0.00,0.44,1.97,0.80,0.00,2.25,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.96,20.91,0.00,0.22,4.88,0.97,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.00,0.09,0.05,3.50,0.17,0.00
0.00,0.96,18.03,0.00,0.21,3.92,0.77,0.00,1.67,0.00,0.00,2.25,0.00,0.05,2.00,0.09,0.05,3.14,0.16,0.00
0.00,0.95,16.81,0.00,0.00,2.47,0.00,0.42,1.47,0.57,0.00,1.17,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.94,15.00,0.00,0.00,1.96,0.00,0.42,1.40,0.54,0.00,1.17,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
0.00,0.93,10.83,0.00,0.00,1.75,0.00,0.41,1.40,0.53,0.00,1.15,0.00,0.05,2.00,0.09,0.05,1.98,0.10,0.00
0.00,0.92,8.24,0.00,0.00,1.38,0.00,0.41,1.38,0.52,0.00,1.15,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
