BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
0.00,0.97,21.23,0.00,0.44,5.49,2.20,0.00,2.00,0.00,0.00,2.15,0.00,0.05,3.19,0.15,0.05,11.34,0.57,0.00
0.00,0.96,18.37,0.00,0.18,3.88,0.65,0.50,2.00,0.92,0.00,2.00,0.00,0.05,2.33,0.11,0.05,2.69,0.13,0.00
0.00,0.96,16.64,0.00,0.18,2.68,0.44,0.50,1.50,0.69,0.00,1.45,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.95,14.95,0.00,0.17,2.00,0.32,0.50,1.50,0.69,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.94,11.74,0.00,0.17,1.95,0.30,0.50,1.50,0.69,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.09,0.93,10.22,-0.87,0.16,1.55,0.23,0.50,1.47,0.68,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,10.13,-0.10,0.20,1.96,0.36,0.50,1.40,0.64,0.00,1.50,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,12.94,-0.13,0.20,1.40,0.26,0.50,1.40,0.64,0.00,1.45,0.00,0.05,2.25,0.10,0.05,2.00,0.10,0.00
-0.01,1.00,16.68,-0.16,0.20,2.00,0.37,0.50,1.50,0.69,0.00,1.70,0.00,0.05,3.58,0.16,0.05,2.00,0.10,0.00
0.00,1.00,29.00,0.00,0.20,6.00,1.10,0.50,5.00,2.30,0.00,2.00,0.00,0.05,7.90,0.36,0.05,4.16,0.21,0.00
0.00,0.99,24.38,0.00,0.19,2.00,0.36,0.50,1.67,0.77,0.00,1.17,0.00,0.05,2.00,0.09,0.05,1.59,0.08,0.00
0.00,0.98,20.67,0.00,0.19,1.95,0.34,0.50,1.50,0.69,0.00,1.17,0.00,0.05,2.00,0.09,0.05,1.54,0.08,0.00
0.00,0.97,21.07,0.00,0.19,1.95,0.33,0.50,1.50,0.69,0.00,1.15,0.00,0.05,1.83,0.08,0.05,1.56,0.08,0.00
0.00,0.96,19.62,0.00,0.18,1.28,0.21,0.50,1.28,0.59,0.00,0.99,0.00,0.05,1.80,0.08,0.05,2.00,0.10,0.00
0.00,0.96,18.56,0.00,0.18,0.95,0.15,0.50,1.00,0.46,0.00,0.94,0.00,0.05,1.15,0.05,0.05,2.00,0.10,0.00
0.00,0.95,18.07,0.00,0.17,0.94,0.15,0.50,1.00,0.46,0.00,0.94,0.00,0.05,1.33,0.06,0.05,2.00,0.10,0.00
0.00,0.94,16.50,0.00,0.17,0.88,0.14,0.50,1.00,0.46,0.00,0.81,0.00,0.05,1.49,0.07,0.05,4.98,0.25,0.00
-0.09,0.93,16.04,-1.36,0.16,0.94,0.14,0.50,1.00,0.46,0.00,0.81,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
-0.01,1.00,15.83,-0.16,0.20,0.94,0.17,0.50,1.00,0.46,0.00,0.98,0.00,0.05,1.60,0.07,0.05,4.98,0.25,0.00
-0.01,1.00,16.45,-0.16,0.20,0.95,0.17,0.50,1.00,0.46,0.00,0.98,0.00,0.05,1.55,0.07,0.05,4.98,0.25,0.00
