BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
0.00,0.99,17.47,0.00,0.00,0.00,0.00,0.25,4.02,0.93,0.25,6.27,1.57,0.09,0.74,0.06,0.50,7.35,3.39,0.00
0.00,0.98,16.30,0.00,0.00,0.00,0.00,0.25,3.80,0.88,0.25,6.00,1.50,0.09,0.74,0.06,0.50,7.35,3.39,0.00
0.00,0.97,15.34,0.00,0.00,0.00,0.00,0.25,3.77,0.87,0.25,3.50,0.88,0.09,0.47,0.04,0.50,4.36,2.01,0.00
0.00,0.96,15.25,0.00,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.09,0.56,0.04,0.50,4.21,1.94,0.00
-0.06,0.96,15.06,-0.86,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.08,0.69,0.05,0.50,4.01,1.85,0.00
-0.01,1.00,15.18,-0.15,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.10,0.72,0.06,0.50,4.11,1.89,0.00
-0.01,1.00,15.42,-0.15,0.00,0.00,0.00,0.25,4.98,1.15,0.25,2.98,0.74,0.10,0.73,0.06,0.50,4.98,2.30,0.00
-0.01,1.00,17.02,-0.16,0.00,0.00,0.00,0.25,12.30,2.84,0.25,6.26,1.56,0.10,0.91,0.08,0.50,11.70,5.39,0.00
-0.01,1.00,18.20,-0.17,0.00,0.00,0.00,0.25,21.02,4.84,0.25,15.00,3.75,0.10,4.78,0.42,0.50,17.13,7.90,0.00
0.00,1.00,20.09,0.00,0.00,0.00,0.00,0.25,13.82,3.19,0.25,15.00,3.75,0.10,3.60,0.32,0.50,14.09,6.50,0.00
0.16,0.99,20.50,2.97,0.00,0.00,0.00,0.25,6.85,1.58,0.25,40.00,10.00,0.09,4.42,0.38,0.50,11.28,5.20,0.00
0.00,0.83,19.65,0.00,0.00,0.00,0.00,0.25,8.15,1.88,0.25,40.00,10.00,0.05,2.60,0.12,0.50,8.37,3.86,0.00
0.00,0.82,18.62,0.00,0.00,0.00,0.00,0.25,8.61,1.98,0.25,18.51,4.63,0.05,1.00,0.05,0.50,9.51,4.38,0.00
0.00,0.81,17.40,0.00,0.00,0.00,0.00,0.25,6.54,1.51,0.25,16.10,4.03,0.05,0.99,0.04,0.50,7.10,3.27,0.00
0.00,0.80,17.24,0.00,0.00,0.00,0.00,0.25,7.12,1.64,0.25,15.00,3.75,0.05,0.99,0.04,0.50,7.63,3.52,0.00
0.00,0.79,16.61,0.00,0.00,0.00,0.00,0.25,6.19,1.43,0.25,15.00,3.75,0.04,0.99,0.04,0.50,6.85,3.16,0.00
-0.24,0.79,15.77,-3.80,0.00,0.00,0.00,0.25,6.74,1.55,0.25,15.00,3.75,0.04,1.00,0.04,0.50,6.85,3.16,0.00
-0.01,1.00,15.76,-0.15,0.00,0.00,0.00,0.25,7.10,1.64,0.25,5.00,1.25,0.10,1.00,0.09,0.50,7.02,3.24,0.00
-0.01,1.00,18.12,-0.17,0.00,0.00,0.00,0.25,8.57,1.98,0.25,3.20,0.80,0.10,0.99,0.09,0.50,8.39,3.87,0.00
0.00,1.00,26.08,0.00,0.00,0.00,0.00,0.25,26.52,6.11,0.25,5.19,1.30,0.10,0.99,0.09,0.50,25.06,11.55,0.00
0.00,0.99,22.68,0.00,0.00,0.00,0.00,0.25,14.04,3.24,0.25,11.04,2.76,0.09,10.00,0.86,0.50,14.85,6.85,0.00
0.00,0.98,20.08,0.00,0.00,0.00,0.00,0.25,6.85,1.58,0.25,5.11,1.28,0.09,6.45,0.54,0.50,10.44,4.81,0.00
0.00,0.97,18.89,0.00,0.00,0.00,0.00,0.25,10.78,2.48,0.25,6.00,1.50,0.09,8.15,0.67,0.50,11.57,5.33,0.00
0.00,0.96,18.79,0.00,0.00,0.00,0.00,0.25,7.85,1.81,0.25,6.00,1.50,0.09,7.28,0.58,0.50,10.95,5.05,0.00
0.00,0.96,17.48,0.00,0.00,0.00,0.00,0.25,3.80,0.88,0.25,6.00,1.50,0.08,0.73,0.06,0.50,6.35,2.93,0.00
0.00,0.95,16.00,0.00,0.00,0.00,0.00,0.25,3.80,0.88,0.25,6.00,1.50,0.08,0.74,0.06,0.50,6.31,2.91,0.00
0.00,0.94,16.18,0.00,0.00,0.00,0.00,0.25,3.59,0.83,0.25,3.50,0.88,0.08,0.50,0.04,0.50,5.85,2.70,0.00
-0.08,0.93,15.49,-1.31,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.08,0.55,0.04,0.50,5.85,2.70,0.00
-0.01,1.00,15.51,-0.15,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.10,0.68,0.06,0.50,5.85,2.70,0.00
-0.01,1.00,15.50,-0.15,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.10,0.71,0.06,0.50,5.85,2.70,0.00
-0.01,1.00,16.08,-0.15,0.00,0.00,0.00,0.25,4.50,1.04,0.25,2.00,0.50,0.10,0.50,0.04,0.50,4.68,2.16,0.00
-0.01,1.00,17.55,-0.17,0.00,0.00,0.00,0.25,10.25,2.36,0.25,3.63,0.91,0.10,0.90,0.08,0.50,9.85,4.54,0.00
0.15,1.00,29.34,4.19,0.00,0.00,0.00,0.25,19.52,4.50,0.25,3.50,0.88,0.10,6.15,0.54,0.50,17.37,8.01,0.00
0.20,0.84,28.00,5.21,0.00,0.00,0.00,0.25,12.83,2.96,0.25,12.11,3.03,0.05,3.52,0.16,0.50,15.60,7.19,0.00
0.00,0.63,21.64,0.00,0.00,0.00,0.00,0.25,4.70,1.08,0.25,22.39,5.60,0.00,4.25,0.01,0.50,10.39,4.79,0.00
