BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
-0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4080.00,940.39,0.00,0.00,0.00,0.00
-0.00,0.85,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4080.00,940.39,0.00,0.00,0.00,0.00
-0.00,0.85,21350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4080.00,940.39,0.00,0.00,0.00,0.00
-0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4080.00,940.39,0.00,0.00,0.00,0.00
-0.00,0.85,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4080.00,940.39,0.00,0.00,0.00,0.00
-0.00,0.85,21290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4080.00,940.39,0.00,0.00,0.00,0.00
-0.00,0.85,17270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.50,4700.00,1083.30,0.00,0.00,0.00,0.00
0.00,0.85,16450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.50,4700.00,1083.30,0.00,0.00,0.00,0.00
-0.00,0.85,17650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.50,4700.00,1083.30,0.00,0.00,0.00,0.00
0.00,0.85,17140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.50,4700.00,1083.30,0.00,0.00,0.00,0.00
0.00,0.85,16990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.50,4700.00,1083.30,0.00,0.00,0.00,0.00
0.00,0.85,15640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.50,4700.00,1083.30,0.00,0.00,0.00,0.00
0.00,0.85,13590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.50,3100.00,714.51,0.00,0.00,0.00,0.00
0.00,0.85,12190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.50,3100.00,714.51,0.00,0.00,0.00,0.00
-0.50,0.85,9490.00,-2372.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.00,3100.00,0.00,0.00,0.00,0.00,0.00
-0.15,0.97,11730.00,-884.39,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.35,3100.00,499.03,0.00,0.00,0.00,0.00
0.00,1.00,16990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.50,3100.00,714.51,0.00,0.00,0.00,0.00
-0.00,1.00,17800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.50,3100.00,714.51,0.00,0.00,0.00,0.00
-0.00,1.00,17660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4280.00,986.49,0.00,0.00,0.00,0.00
0.00,1.00,18320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4280.00,986.49,0.00,0.00,0.00,0.00
0.00,1.00,20010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4280.00,986.49,0.00,0.00,0.00,0.00
0.00,1.00,21950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4280.00,986.49,0.00,0.00,0.00,0.00
0.00,1.00,22910.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4280.00,986.49,0.00,0.00,0.00,0.00
0.00,1.00,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4280.00,986.49,0.00,0.00,0.00,0.00
0.00,1.00,22800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,880.00,202.83,0.00,0.00,0.00,0.00
0.00,1.00,22910.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,880.00,202.83,0.00,0.00,0.00,0.00
0.00,1.00,22910.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,880.00,202.83,0.00,0.00,0.00,0.00
0.50,1.00,23070.00,5317.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,880.00,202.83,0.00,0.00,0.00,0.00
0.00,0.88,23010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,880.00,202.83,0.00,0.00,0.00,0.00
0.10,0.88,23010.00,1060.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,880.00,202.83,0.00,0.00,0.00,0.00
-0.00,0.85,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9720.00,2240.35,0.00,0.00,0.00,0.00
-0.00,0.85,23090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9720.00,2240.35,0.00,0.00,0.00,0.00
-0.00,0.85,23080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9720.00,2240.35,0.00,0.00,0.00,0.00
-0.00,0.85,23090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9720.00,2240.35,0.00,0.00,0.00,0.00
-0.00,0.85,23070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9720.00,2240.35,0.00,0.00,0.00,0.00
0.00,0.85,22450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9720.00,2240.35,0.00,0.00,0.00,0.00
-0.00,0.85,22970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,17620.00,4061.21,0.00,0.00,0.00,0.00
0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,17620.00,4061.21,0.00,0.00,0.00,0.00
0.00,0.85,21950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,17620.00,4061.21,0.00,0.00,0.00,0.00
0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,17620.00,4061.21,0.00,0.00,0.00,0.00
0.00,0.85,21590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,17620.00,4061.21,0.00,0.00,0.00,0.00
0.00,0.85,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,17620.00,4061.21,0.00,0.00,0.00,0.00
0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21570.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
0.00,0.85,21290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4260.00,981.88,0.00,0.00,0.00,0.00
-0.00,0.85,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,4260.00,981.88,0.00,0.00,0.00,0.00
0.13,0.85,22540.00,1298.80,0.00,0.00,0.00,0.00,0.00,0.00,0.37,3020.00,522.06,0.50,4260.00,981.88,0.00,0.00,0.00,0.00
0.50,0.82,23280.00,5365.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,0.50,4260.00,981.88,0.00,0.00,0.00,0.00
0.50,0.69,23000.00,5301.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,0.50,4260.00,981.88,0.00,0.00,0.00,0.00
0.38,0.57,21350.00,3690.70,0.00,0.00,0.00,0.00,0.00,0.00,0.12,3020.00,174.02,0.50,4260.00,981.88,0.00,0.00,0.00,0.00
0.19,0.47,17660.00,1526.41,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.00,3560.00,0.00,0.00,0.00,0.00,0.00
0.56,0.43,16000.00,4148.80,0.00,0.00,0.00,0.00,0.00,0.00,0.44,9140.00,1843.33,0.00,3560.00,0.00,0.00,0.00,0.00,0.00
0.75,0.29,12190.00,4214.48,0.00,0.00,0.00,0.00,0.00,0.00,0.25,9140.00,1053.33,0.00,3560.00,0.00,0.00,0.00,0.00,0.00
-0.91,0.10,5000.00,-2262.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9140.00,0.00,0.00,3560.00,0.00,0.00,0.00,0.00,0.00
-0.72,0.31,20.00,-7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.28,9140.00,1172.01,0.00,3560.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.47,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9140.00,2106.67,0.00,3560.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.59,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.00,2380.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.71,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.00,2380.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.82,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.00,2380.00,0.00,0.00,0.00,0.00,0.00
