BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,0.10,-33.86,-0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.72,0.00,0.50,24.86,12.43,0.50,6.94,3.20,0.50,38.59,19.29,0.00,0.49,0.00,0.00,10.34,0.00,0.00
0.00,0.10,-41.43,-0.00,0.00,0.00,0.00,0.50,0.42,0.19,0.00,0.00,0.00,0.00,0.79,0.00,0.50,50.15,25.07,0.50,14.46,6.67,0.50,64.43,32.21,0.00,0.42,0.00,0.00,10.91,0.00,0.00
0.00,0.11,-33.82,-0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.44,0.00,0.50,43.00,21.50,0.50,12.64,5.83,0.50,52.65,26.33,0.00,0.40,0.00,0.00,13.94,0.00,0.00
0.00,0.11,-28.25,-0.00,0.00,0.00,0.00,0.50,0.66,0.30,0.00,0.00,0.00,0.00,0.65,0.00,0.50,26.25,13.12,0.50,12.66,5.84,0.50,47.89,23.95,0.00,0.39,0.00,-0.00,16.95,-0.00,0.00
-0.50,0.12,-38.58,19.29,0.00,0.00,0.00,0.50,0.95,0.44,0.00,0.00,0.00,0.00,0.86,0.00,0.00,20.70,0.00,0.50,12.85,5.92,0.50,48.55,24.27,0.00,0.39,0.00,0.00,11.25,0.00,0.00
-0.50,0.23,-34.93,17.47,0.00,0.00,0.00,0.50,0.96,0.44,0.00,0.00,0.00,0.00,0.86,0.00,0.00,19.12,0.00,0.50,13.03,6.01,0.50,44.58,22.29,0.00,0.39,0.00,0.00,5.67,0.00,0.00
-0.50,0.34,-35.61,17.80,0.00,0.00,0.00,0.50,0.94,0.43,0.00,0.00,0.00,0.00,0.86,0.00,0.00,19.96,0.00,0.50,13.11,6.04,0.50,36.44,18.22,0.00,0.39,0.00,0.00,5.10,0.00,0.00
-1.00,0.46,-43.13,43.13,0.00,0.00,0.00,0.50,0.44,0.20,0.00,0.00,0.00,0.00,0.82,0.00,0.00,14.24,0.00,0.50,14.33,6.61,-0.00,21.59,-0.00,0.00,0.39,0.00,0.00,1.22,0.00,0.00
-1.00,0.68,-37.91,37.91,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.46,0.00,0.00,4.25,0.00,0.50,10.44,4.81,-0.00,8.31,-0.00,0.00,0.39,0.00,0.00,0.77,0.00,0.00
0.00,0.91,-1.10,-0.00,0.00,0.00,0.00,-0.00,1.37,-0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.50,1.82,0.91,0.50,8.87,4.09,0.50,8.11,4.06,0.50,0.46,0.21,-0.00,0.63,-0.00,0.00
0.50,0.90,15.73,7.25,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.99,0.00,0.50,9.87,4.55,0.50,4.92,2.46,0.00,0.56,0.00,0.50,0.33,0.17,0.00
0.50,0.78,16.44,7.58,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,1.00,0.00,0.50,6.22,2.87,0.50,3.89,1.94,0.00,0.43,0.00,0.50,0.39,0.19,0.00
0.00,0.66,8.61,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,-0.00,0.94,-0.00,-0.00,1.00,-0.00,0.50,5.32,2.45,0.50,3.93,1.97,0.50,0.64,0.29,0.50,0.52,0.26,0.00
0.18,0.64,14.86,2.45,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,1.00,0.00,0.50,8.54,3.94,0.50,3.90,1.95,0.32,0.63,0.19,0.50,0.86,0.43,0.00
1.00,0.59,25.51,23.52,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.00,1.77,0.00,-0.00,6.10,-0.00,0.50,4.13,2.07,0.00,0.53,0.00,0.50,0.96,0.48,0.00
1.00,0.35,34.37,31.68,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,2.26,0.00,-0.00,5.11,-0.00,0.50,4.46,2.23,0.00,0.41,0.00,0.50,1.30,0.65,0.00
0.00,0.10,-2.39,-0.00,0.00,0.00,0.00,0.07,0.91,0.06,0.00,0.00,0.00,0.43,0.68,0.27,0.50,8.21,4.11,0.50,5.51,2.54,0.50,5.78,2.89,0.00,0.39,0.00,-0.00,2.00,-0.00,0.00
-0.34,0.10,-37.81,12.76,0.00,0.00,0.00,0.50,0.98,0.45,0.00,0.00,0.00,-0.00,0.74,-0.00,0.50,17.37,8.69,0.50,7.55,3.48,0.16,9.68,1.57,0.00,0.39,0.00,0.00,3.29,0.00,0.00
-0.50,0.18,-38.00,19.00,0.00,0.00,0.00,0.50,1.02,0.47,0.00,0.00,0.00,-0.00,0.80,-0.00,0.50,19.95,9.97,0.50,6.91,3.18,0.00,8.23,0.00,0.00,0.40,0.00,0.00,4.64,0.00,0.00
-0.50,0.30,-38.00,19.00,0.00,0.00,0.00,0.50,1.04,0.48,0.00,0.00,0.00,-0.00,0.98,-0.00,0.50,19.95,9.97,0.50,6.75,3.11,0.00,7.32,0.00,0.00,0.58,0.00,0.00,5.31,0.00,0.00
