BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
-0.00,1.00,54.59,-0.27,0.00,0.35,0.00,0.05,6.05,0.30,0.45,0.35,0.14,0.05,1.88,0.09,0.00
0.00,1.00,74.90,0.00,0.00,0.35,0.00,0.05,7.99,0.40,0.45,0.35,0.14,0.05,2.14,0.10,0.00
0.00,0.99,75.67,0.00,0.00,0.76,0.00,0.05,7.11,0.35,0.44,0.76,0.31,0.05,0.76,0.03,0.00
0.00,0.98,75.87,0.00,0.00,0.96,0.00,0.05,6.11,0.30,0.44,0.96,0.39,0.05,0.96,0.04,0.00
0.00,0.97,75.90,0.00,0.00,1.00,0.00,0.05,7.99,0.40,0.44,1.00,0.40,0.05,1.00,0.05,0.00
0.00,0.96,75.73,0.00,0.00,0.60,0.00,0.05,7.17,0.36,0.43,0.60,0.24,0.05,0.60,0.03,0.00
0.00,0.96,75.46,0.00,0.00,0.63,0.00,0.05,7.42,0.37,0.43,1.00,0.39,0.05,1.00,0.05,0.00
0.00,0.95,75.09,0.00,0.00,0.35,0.00,0.05,6.74,0.34,0.42,0.45,0.17,0.05,0.93,0.04,0.00
0.41,0.94,74.86,28.42,0.00,0.35,0.00,0.05,5.00,0.25,0.42,0.45,0.17,0.05,1.25,0.06,0.00
0.00,0.10,69.06,0.00,0.00,0.35,0.00,0.05,4.21,0.21,0.00,0.35,0.00,0.05,1.30,0.06,0.00
0.00,0.10,68.49,0.00,0.00,0.35,0.00,0.05,4.25,0.21,0.00,0.35,0.00,0.05,0.58,0.03,0.00
0.00,0.10,67.80,0.00,0.00,0.35,0.00,0.05,4.38,0.22,0.00,0.35,0.00,0.05,0.50,0.02,0.00
0.00,0.10,66.85,0.00,0.00,0.35,0.00,0.05,4.00,0.20,0.00,0.35,0.00,0.05,0.58,0.03,0.00
0.00,0.10,65.40,0.00,0.00,0.35,0.00,0.05,4.05,0.20,0.00,0.35,0.00,0.05,0.66,0.03,0.00
0.00,0.10,68.77,0.00,0.00,0.35,0.00,0.05,4.58,0.23,0.00,0.35,0.00,0.05,0.35,0.02,0.00
0.00,0.10,68.96,0.00,0.00,0.35,0.00,0.05,5.75,0.29,0.00,0.35,0.00,0.05,1.00,0.05,0.00
0.00,0.10,64.94,0.05,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.50,0.00,0.05,2.43,0.11,0.00
0.00,0.10,43.21,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.45,0.00,0.05,4.26,0.18,0.00
0.00,0.10,32.75,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,1.00,0.00,0.05,1.50,0.06,0.00
0.00,0.10,23.09,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,1.00,0.04,0.00
0.00,0.10,22.21,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,1.02,0.04,0.00
-0.00,0.10,10.17,-0.01,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.66,0.03,0.00
-0.49,0.10,8.29,-4.03,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.77,0.04,0.00
-0.00,1.00,18.66,-0.09,0.00,0.17,0.00,0.05,6.18,0.31,0.45,0.17,0.07,0.05,0.92,0.04,0.00
-0.00,1.00,41.47,-0.21,0.00,0.35,0.00,0.05,5.41,0.27,0.45,0.35,0.14,0.05,2.21,0.10,0.00
0.00,1.00,67.42,0.00,0.00,0.36,0.00,0.05,5.93,0.30,0.45,0.45,0.19,0.05,2.09,0.10,0.00
0.00,0.99,68.17,0.00,0.00,0.36,0.00,0.05,5.76,0.29,0.44,0.36,0.15,0.05,1.50,0.07,0.00
0.00,0.98,68.00,0.00,0.00,1.00,0.00,0.05,5.76,0.29,0.44,1.00,0.40,0.05,1.20,0.06,0.00
0.00,0.97,67.53,0.00,0.00,0.84,0.00,0.05,5.30,0.26,0.44,0.84,0.34,0.05,0.84,0.04,0.00
0.00,0.96,67.20,0.00,0.00,0.62,0.00,0.05,5.00,0.25,0.43,0.62,0.24,0.05,0.62,0.03,0.00
0.00,0.96,67.80,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.43,0.35,0.14,0.05,0.35,0.02,0.00
0.00,0.95,67.58,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.42,0.35,0.14,0.05,0.35,0.02,0.00
0.00,0.94,66.59,0.00,0.00,0.35,0.00,0.05,7.99,0.40,0.42,0.74,0.28,0.05,0.75,0.03,0.00
0.00,0.93,68.34,0.00,0.00,0.35,0.00,0.05,4.21,0.21,0.41,0.38,0.15,0.05,0.38,0.02,0.00
0.00,0.92,63.77,0.00,0.00,0.35,0.00,0.05,4.24,0.21,0.41,0.35,0.13,0.05,0.35,0.02,0.00
0.00,0.91,60.83,0.00,0.00,0.35,0.00,0.05,4.21,0.21,0.41,0.35,0.13,0.05,0.35,0.02,0.00
0.00,0.90,60.24,0.00,0.00,0.33,0.00,0.05,4.19,0.21,0.40,0.33,0.12,0.05,0.33,0.02,0.00
0.00,0.90,61.79,0.00,0.00,0.35,0.00,0.05,4.66,0.23,0.40,0.35,0.13,0.05,0.35,0.02,0.00
