BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.01,1.00,64.68,-0.44,0.00,0.15,0.00,0.43,1.48,0.59,0.25,3.00,0.75,0.25,3.01,0.69,0.00
-0.01,1.00,64.12,-0.44,0.00,0.15,0.00,0.43,1.00,0.40,0.25,3.55,0.89,0.25,2.53,0.58,0.00
-0.01,1.00,66.18,-0.45,0.00,0.15,0.00,0.43,1.47,0.58,0.25,4.47,1.12,0.25,3.00,0.69,0.00
0.00,1.00,76.78,0.00,0.00,0.15,0.00,0.50,3.99,1.84,0.25,1.98,0.49,0.18,3.99,0.66,0.00
0.06,1.00,102.15,5.29,0.00,0.15,0.00,0.43,13.00,5.16,0.25,2.00,0.50,0.25,13.00,3.00,0.00
0.38,0.88,97.89,34.47,0.00,0.15,0.00,0.37,13.10,4.44,0.25,6.09,1.52,0.25,17.36,4.00,0.00
0.00,0.10,73.09,0.00,0.00,0.15,0.00,0.00,4.00,0.00,0.25,6.09,1.52,0.23,5.97,1.27,0.00
0.00,0.10,59.01,0.00,0.00,0.15,0.00,0.00,6.00,0.00,0.25,6.00,1.50,0.23,7.97,1.69,0.00
-0.02,0.10,48.59,-1.03,0.00,0.15,0.00,0.00,2.95,0.00,0.25,9.07,2.27,0.23,6.99,1.49,0.00
-0.00,0.14,47.47,-0.20,0.00,0.15,0.00,0.00,1.00,0.00,0.25,20.13,5.03,0.25,5.00,1.15,0.00
0.00,0.14,47.04,0.00,0.00,0.15,0.00,0.00,1.00,0.00,0.25,12.63,3.16,0.25,5.00,1.15,0.00
-0.47,0.14,45.51,-21.35,0.00,0.15,0.00,0.00,1.00,0.00,0.25,9.85,2.46,0.25,4.61,1.06,0.00
-0.01,1.00,47.96,-0.33,0.00,0.15,0.00,0.43,1.68,0.67,0.25,12.53,3.13,0.25,5.70,1.31,0.00
-0.01,1.00,59.41,-0.40,0.00,0.15,0.00,0.43,1.42,0.56,0.25,14.87,3.72,0.25,2.80,0.65,0.00
0.00,1.00,88.84,0.00,0.00,0.15,0.00,0.50,12.00,5.53,0.25,11.97,2.99,0.18,12.00,2.00,0.00
0.00,1.00,118.39,0.00,0.00,0.15,0.00,0.50,40.71,18.77,0.25,11.97,2.99,0.18,40.91,6.81,0.00
0.00,1.00,106.01,0.00,0.00,0.15,0.00,0.43,29.17,11.58,0.25,10.00,2.50,0.25,29.17,6.72,0.00
