BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.00,0.77,55.51,0.00,0.21,1.00,0.19,0.05,6.53,0.33,0.50,1.00,0.46,0.05,1.00,0.05,0.00
0.24,0.76,55.38,12.07,0.21,1.00,0.19,0.05,5.96,0.30,0.50,1.00,0.46,0.05,1.00,0.05,0.00
0.00,0.64,54.93,0.00,0.14,0.83,0.11,0.05,4.88,0.24,0.50,0.83,0.38,0.05,0.83,0.04,0.00
0.00,0.63,54.33,0.00,0.14,0.35,0.05,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.63,50.14,0.00,0.14,0.35,0.05,0.05,5.00,0.25,0.50,1.00,0.46,0.05,1.50,0.07,0.00
0.00,0.63,48.58,0.00,0.14,0.35,0.04,0.05,5.93,0.30,0.50,0.50,0.23,0.05,2.30,0.11,0.00
0.00,0.62,45.97,0.00,0.14,0.35,0.04,0.05,4.24,0.21,0.50,0.35,0.16,0.05,0.55,0.03,0.00
0.00,0.62,44.71,0.00,0.13,0.35,0.04,0.05,4.53,0.23,0.50,0.35,0.16,0.05,0.59,0.03,0.00
0.00,0.62,44.45,0.00,0.13,0.35,0.04,0.05,4.82,0.24,0.50,0.35,0.16,0.05,0.46,0.02,0.00
0.00,0.61,44.17,0.00,0.13,0.35,0.04,0.05,4.78,0.24,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.61,45.02,0.00,0.13,0.35,0.04,0.05,4.26,0.21,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.60,51.51,0.00,0.13,0.35,0.04,0.05,5.68,0.28,0.50,0.35,0.16,0.05,0.35,0.02,0.00
1.00,0.60,59.69,54.88,0.00,0.35,0.00,0.05,6.28,0.31,0.00,0.35,0.00,-0.00,0.35,-0.00,0.00
0.00,0.10,52.91,0.04,0.00,0.35,0.00,0.05,5.99,0.30,0.00,0.45,0.00,0.05,0.69,0.03,0.00
0.00,0.10,41.74,0.00,0.00,0.35,0.00,0.05,5.03,0.25,0.00,0.45,0.00,0.05,1.86,0.08,0.00
0.00,0.10,22.48,0.00,0.00,0.35,0.00,0.05,5.03,0.25,0.00,0.86,0.00,0.05,1.10,0.05,0.00
0.00,0.10,17.75,0.00,0.00,0.35,0.00,0.05,5.03,0.25,0.00,0.35,0.00,0.05,0.59,0.03,0.00
-0.06,0.10,15.02,-0.88,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,0.59,0.03,0.00
-0.95,0.13,13.81,-13.08,0.00,0.14,0.00,0.05,5.14,0.26,0.05,0.14,0.01,0.05,0.37,0.02,0.00
-0.95,0.56,10.19,-9.65,0.00,0.14,0.00,0.05,6.41,0.32,0.50,0.14,0.06,0.05,0.92,0.04,0.00
-0.01,1.00,15.28,-0.19,0.32,0.14,0.04,0.05,5.00,0.25,0.50,0.14,0.06,0.05,0.73,0.03,0.00
-0.01,1.00,42.03,-0.53,0.32,0.35,0.10,0.05,6.57,0.33,0.50,0.35,0.16,0.05,2.35,0.11,0.00
0.00,1.00,62.09,0.00,0.32,0.45,0.13,0.05,12.40,0.62,0.50,0.45,0.21,0.05,1.01,0.05,0.00
0.00,0.99,63.16,0.00,0.32,0.70,0.21,0.05,7.00,0.35,0.50,0.70,0.32,0.05,0.94,0.04,0.00
0.00,0.99,63.19,0.00,0.32,0.85,0.25,0.05,6.99,0.35,0.50,0.85,0.39,0.05,1.09,0.05,0.00
0.00,0.98,63.27,0.00,0.32,1.00,0.29,0.05,6.11,0.30,0.50,1.00,0.46,0.05,1.06,0.05,0.00
0.00,0.98,63.26,0.00,0.31,0.76,0.22,0.05,5.40,0.27,0.50,0.76,0.35,0.05,0.76,0.03,0.00
0.00,0.97,62.87,0.00,0.31,0.35,0.10,0.05,6.33,0.32,0.50,0.35,0.16,0.05,0.39,0.02,0.00
0.00,0.97,62.41,0.00,0.31,0.35,0.10,0.05,5.79,0.29,0.50,0.45,0.21,0.05,0.69,0.03,0.00
0.00,0.96,61.43,0.00,0.30,0.35,0.10,0.05,4.63,0.23,0.50,0.68,0.31,0.05,2.30,0.11,0.00
