BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.62,78.34,0.00,0.00,0.15,0.00,0.50,9.00,4.15,0.25,5.99,1.50,0.25,9.00,2.07,0.00
0.00,0.61,69.76,0.00,0.00,0.15,0.00,0.49,4.00,1.82,0.25,9.36,2.34,0.25,4.00,0.92,0.00
0.00,0.61,60.92,0.00,0.00,0.15,0.00,0.50,2.91,1.34,0.25,3.90,0.98,0.24,2.91,0.63,0.00
0.00,0.60,58.24,0.00,0.00,0.15,0.00,0.48,4.00,1.77,0.25,5.99,1.50,0.25,6.00,1.38,0.00
0.00,0.59,51.95,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.22,3.00,0.62,0.00
-0.04,0.59,49.39,-1.84,0.00,0.15,0.00,0.50,2.25,1.04,0.25,5.00,1.25,0.22,2.75,0.56,0.00
-0.01,0.62,48.36,-0.36,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.00,0.75,0.25,3.00,0.69,0.00
-0.42,0.62,47.68,-20.04,0.00,0.15,0.00,0.50,2.75,1.27,0.25,3.00,0.75,0.25,2.75,0.63,0.00
-0.01,1.00,48.14,-0.36,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.25,3.00,0.69,0.00
0.00,1.00,55.82,0.00,0.10,0.15,0.01,0.50,3.08,1.42,0.25,5.99,1.50,0.25,3.08,0.71,0.00
0.37,0.99,77.44,26.12,0.00,0.15,0.00,0.38,8.00,2.83,0.25,4.35,1.09,0.25,8.00,1.84,0.00
0.25,0.62,77.41,17.84,0.00,0.15,0.00,0.50,13.99,6.45,0.25,6.65,1.66,0.25,15.74,3.63,0.00
0.00,0.36,56.36,0.00,0.00,0.15,0.00,0.24,4.00,0.90,0.25,4.68,1.17,0.25,6.04,1.39,0.00
0.00,0.36,47.02,0.00,0.00,0.12,0.00,0.24,2.67,0.59,0.25,4.99,1.25,0.25,3.76,0.87,0.00
0.00,0.35,41.66,0.00,0.00,0.12,0.00,0.23,5.00,1.08,0.25,8.47,2.12,0.25,6.42,1.48,0.00
0.00,0.35,37.63,0.00,0.00,0.12,0.00,0.23,2.46,0.52,0.25,12.26,3.06,0.25,4.00,0.92,0.00
-0.71,0.35,36.32,-25.96,0.00,0.12,0.00,0.23,1.06,0.22,0.25,6.00,1.50,0.25,3.76,0.87,0.00
-0.01,1.00,37.15,-0.28,0.00,0.12,0.00,0.50,1.91,0.88,0.25,5.00,1.25,0.25,3.76,0.87,0.00
-0.01,1.00,41.65,-0.31,0.00,0.12,0.00,0.50,1.00,0.46,0.25,5.00,1.25,0.25,5.00,1.15,0.00
-0.01,1.00,56.82,-0.43,0.00,0.15,0.00,0.50,6.63,3.06,0.25,9.45,2.36,0.25,8.94,2.06,0.00
