BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
-0.00,0.10,424.81,0.00,0.00
-0.00,0.10,321.65,0.00,0.00
-0.00,0.10,301.60,0.00,0.00
-0.00,0.10,295.98,0.00,0.00
-0.00,0.10,238.73,0.00,0.00
-0.00,0.10,147.22,0.00,0.00
-0.00,0.10,145.42,0.00,0.00
0.00,0.10,92.13,0.00,0.00
0.00,0.10,43.84,0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
-0.49,0.10,-80.00,39.05,0.00
0.00,1.00,69.58,0.00,0.00
0.00,1.00,142.68,0.00,0.00
-0.00,1.00,222.24,0.00,0.00
-0.00,1.00,383.62,0.00,0.00
0.45,1.00,513.15,212.90,0.00
-0.00,0.10,281.38,0.00,0.00
0.00,0.10,165.29,0.00,0.00
0.00,0.10,148.75,0.00,0.00
-0.49,0.10,108.50,-52.96,0.00
0.00,1.00,162.12,0.00,0.00
0.00,1.00,251.75,0.00,0.00
-0.00,1.00,509.82,0.00,0.00
-0.00,1.00,761.20,0.00,0.00
0.45,1.00,1047.42,434.55,0.00
-0.00,0.10,712.00,0.00,0.00
-0.00,0.10,597.38,0.00,0.00
-0.00,0.10,585.34,0.00,0.00
-0.00,0.10,474.79,0.00,0.00
0.00,0.10,342.92,0.00,0.00
0.00,0.10,332.73,0.00,0.00
0.00,0.10,379.70,0.00,0.00
0.00,0.10,339.62,0.00,0.00
0.00,0.10,306.64,0.00,0.00
-0.49,0.10,254.09,-124.02,0.00
0.00,1.00,257.52,0.00,0.00
0.00,1.00,357.88,0.00,0.00
-0.00,1.00,477.09,0.00,0.00
-0.00,1.00,624.84,0.00,0.00
0.45,1.00,756.70,313.94,0.00
-0.00,0.10,538.24,0.00,0.00
0.00,0.10,381.60,0.00,0.00
0.00,0.10,331.88,0.00,0.00
-0.49,0.10,201.07,-98.14,0.00
0.00,1.00,302.50,0.00,0.00
-0.00,1.00,390.27,0.00,0.00
-0.00,1.00,558.45,0.00,0.00
-0.00,1.00,733.54,0.00,0.00
0.45,1.00,771.62,320.13,0.00
-0.00,0.10,560.00,0.00,0.00
-0.00,0.10,439.96,0.00,0.00
-0.00,0.10,402.35,0.00,0.00
0.00,0.10,314.96,0.00,0.00
-0.49,0.10,188.65,-92.08,0.00
0.00,1.00,196.30,0.00,0.00
0.00,1.00,226.08,0.00,0.00
0.00,1.00,212.96,0.00,0.00
0.00,1.00,201.21,0.00,0.00
0.00,1.00,194.47,0.00,0.00
0.00,1.00,211.35,0.00,0.00
0.00,1.00,288.47,0.00,0.00
-0.00,1.00,374.21,0.00,0.00
-0.00,1.00,534.66,0.00,0.00
0.45,1.00,642.19,266.43,0.00
-0.00,0.10,450.24,0.00,0.00
0.00,0.10,312.57,0.00,0.00
0.00,0.10,244.84,0.00,0.00
-0.49,0.10,161.90,-79.02,0.00
0.00,1.00,185.25,0.00,0.00
0.00,1.00,230.87,0.00,0.00
-0.00,1.00,419.07,0.00,0.00
-0.00,1.00,629.79,0.00,0.00
0.45,1.00,709.94,294.54,0.00
-0.00,0.10,505.63,0.00,0.00
-0.00,0.10,420.09,0.00,0.00
-0.00,0.10,407.68,0.00,0.00
0.00,0.10,345.15,0.00,0.00
0.00,0.10,261.32,0.00,0.00
0.00,0.10,288.30,0.00,0.00
0.00,0.10,241.28,0.00,0.00
0.00,0.10,242.12,0.00,0.00
0.00,0.10,241.10,0.00,0.00
0.00,0.10,241.78,0.00,0.00
0.00,0.10,253.73,0.00,0.00
0.00,0.10,282.72,0.00,0.00
0.00,0.10,293.42,0.00,0.00
0.00,0.10,309.57,0.00,0.00
0.00,0.10,331.35,0.00,0.00
0.00,0.10,298.11,0.00,0.00
0.00,0.10,261.04,0.00,0.00
0.00,0.10,241.42,0.00,0.00
-0.49,0.10,196.72,-96.02,0.00
0.00,1.00,241.36,0.00,0.00
0.00,1.00,283.64,0.00,0.00
0.00,1.00,313.14,0.00,0.00
-0.00,1.00,429.25,0.00,0.00
0.45,1.00,531.00,220.30,0.00
0.00,0.10,402.73,0.00,0.00
0.00,0.10,342.74,0.00,0.00
0.00,0.10,337.86,0.00,0.00
0.00,0.10,314.86,0.00,0.00
0.00,0.10,300.04,0.00,0.00
0.00,0.10,299.42,0.00,0.00
0.00,0.10,314.55,0.00,0.00
0.00,0.10,286.10,0.00,0.00
0.00,0.10,253.54,0.00,0.00
-0.49,0.10,235.56,-114.97,0.00
0.00,1.00,243.89,0.00,0.00
0.00,1.00,312.65,0.00,0.00
0.00,1.00,390.69,0.00,0.00
-0.00,1.00,518.37,0.00,0.00
0.45,1.00,608.69,252.53,0.00
-0.00,0.10,374.82,0.00,0.00
0.00,0.10,205.30,0.00,0.00
0.00,0.10,155.47,0.00,0.00
-0.49,0.10,90.67,-44.25,0.00
0.00,1.00,119.81,0.00,0.00
0.00,1.00,167.15,0.00,0.00
-0.00,1.00,334.00,0.00,0.00
-0.00,1.00,620.86,0.00,0.00
0.45,1.00,885.09,367.21,0.00
-0.00,0.10,705.62,0.00,0.00
0.00,0.10,605.66,0.00,0.00
-0.00,0.10,630.36,0.00,0.00
-0.00,0.10,484.75,0.00,0.00
-0.00,0.10,372.72,0.00,0.00
-0.00,0.10,366.40,0.00,0.00
0.00,0.10,277.36,0.00,0.00
0.00,0.10,213.63,0.00,0.00
0.00,0.10,180.78,0.00,0.00
0.00,0.10,152.85,0.00,0.00
-0.49,0.10,145.01,-70.78,0.00
0.00,1.00,169.22,0.00,0.00
0.00,1.00,195.01,0.00,0.00
-0.00,1.00,326.10,0.00,0.00
0.45,1.00,424.55,176.14,0.00
-0.00,0.10,260.94,0.00,0.00
0.00,0.10,141.34,0.00,0.00
0.00,0.10,103.59,0.00,0.00
-0.49,0.10,9.25,-4.51,0.00
0.00,1.00,87.46,0.00,0.00
-0.00,1.00,147.50,0.00,0.00
-0.00,1.00,389.02,0.00,0.00
-0.00,1.00,737.51,0.00,0.00
0.45,1.00,1063.35,441.16,0.00
-0.00,0.10,798.44,0.00,0.00
-0.00,0.10,713.25,0.00,0.00
-0.00,0.10,708.04,0.00,0.00
-0.00,0.10,523.04,0.00,0.00
0.00,0.10,378.67,0.00,0.00
0.00,0.10,372.17,0.00,0.00
-0.00,0.10,430.47,0.00,0.00
0.00,0.10,358.19,0.00,0.00
0.00,0.10,312.65,0.00,0.00
0.00,0.10,242.80,0.00,0.00
-0.49,0.10,197.22,-96.26,0.00
0.00,1.00,205.25,0.00,0.00
0.00,1.00,225.68,0.00,0.00
-0.00,1.00,365.39,0.00,0.00
0.45,1.00,491.35,203.85,0.00
-0.00,0.10,376.22,0.00,0.00
-0.00,0.10,204.50,0.00,0.00
0.00,0.10,144.99,0.00,0.00
-0.49,0.10,56.88,-27.76,0.00
0.00,1.00,92.61,0.00,0.00
0.00,1.00,123.50,0.00,0.00
-0.00,1.00,270.49,0.00,0.00
-0.00,1.00,473.17,0.00,0.00
0.45,1.00,695.59,288.59,0.00
-0.00,0.10,547.93,0.00,0.00
0.00,0.10,474.87,0.00,0.00
-0.00,0.10,497.50,0.00,0.00
-0.00,0.10,433.95,0.00,0.00
0.00,0.10,348.34,0.00,0.00
-0.00,0.10,369.89,0.00,0.00
0.00,0.10,150.13,0.00,0.00
0.00,0.10,135.18,0.00,0.00
0.00,0.10,122.80,0.00,0.00
-0.49,0.10,119.61,-58.38,0.00
0.00,1.00,122.74,0.00,0.00
0.00,1.00,165.78,0.00,0.00
0.00,1.00,208.41,0.00,0.00
-0.00,1.00,362.37,0.00,0.00
0.45,1.00,554.45,230.03,0.00
0.00,0.10,431.06,0.00,0.00
0.00,0.10,269.81,0.00,0.00
0.00,0.10,214.50,0.00,0.00
-0.49,0.10,169.06,-82.52,0.00
0.00,1.00,223.21,0.00,0.00
0.00,1.00,314.34,0.00,0.00
-0.00,1.00,478.85,0.00,0.00
-0.00,1.00,692.91,0.00,0.00
0.45,1.00,951.40,394.72,0.00
-0.00,0.10,658.15,0.00,0.00
-0.00,0.10,547.70,0.00,0.00
-0.00,0.10,534.60,0.00,0.00
-0.00,0.10,445.55,0.00,0.00
-0.00,0.10,370.81,0.00,0.00
0.00,0.10,362.27,0.00,0.00
0.00,0.10,277.43,0.00,0.00
0.00,0.10,233.02,0.00,0.00
0.00,0.10,209.54,0.00,0.00
-0.49,0.10,201.08,-98.15,0.00
0.00,1.00,203.16,0.00,0.00
0.00,1.00,239.83,0.00,0.00
0.00,1.00,328.17,0.00,0.00
-0.00,1.00,457.51,0.00,0.00
0.00,1.00,602.25,0.00,0.00
0.00,1.00,527.25,0.00,0.00
0.00,1.00,465.50,0.00,0.00
0.00,1.00,460.28,0.00,0.00
0.00,1.00,420.57,0.00,0.00
0.00,1.00,477.15,0.00,0.00
0.00,1.00,524.77,0.00,0.00
-0.00,1.00,703.51,0.00,0.00
-0.00,1.00,854.23,0.00,0.00
