BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,1.00,63.71,0.02,0.00,-4.32,-0.00,0.00,0.00,0.00,0.25,1.23,0.28,0.04,0.11,0.00,0.04,4.12,0.17,0.25,1.34,0.33,0.06,8.52,0.49,0.00,0.00,0.00,0.00,8.03,8.03,0.00
0.00,1.00,74.00,0.23,0.00,-4.32,-0.00,0.00,0.00,0.00,0.25,1.23,0.28,0.04,0.11,0.00,0.04,4.12,0.17,0.25,1.34,0.33,0.06,8.52,0.49,0.00,0.00,0.00,0.00,6.06,6.06,0.07
0.00,0.99,68.00,0.00,0.00,-4.32,-0.00,0.00,0.00,0.00,0.25,1.23,0.28,0.04,0.11,0.00,0.04,4.12,0.17,0.25,1.34,0.33,0.06,8.52,0.49,0.00,0.00,0.00,0.00,59.88,59.88,0.00
0.00,1.00,70.59,0.00,0.00,-6.58,-0.00,0.00,0.00,0.00,0.25,0.53,0.12,0.00,-1.22,-0.00,0.04,3.96,0.17,0.23,1.05,0.24,0.07,9.45,0.65,0.00,0.00,0.00,0.00,10.50,10.50,0.00
0.00,1.00,86.95,0.13,0.00,-6.58,-0.00,0.00,0.00,0.00,0.25,0.53,0.12,0.00,-1.22,-0.00,0.04,3.96,0.17,0.23,1.05,0.24,0.07,9.45,0.65,0.00,0.00,0.00,0.00,67.25,67.25,0.01
0.00,1.00,89.71,0.39,0.00,-6.58,-0.00,0.00,0.00,0.00,0.25,0.53,0.12,0.00,-1.22,-0.00,0.04,3.96,0.17,0.23,1.05,0.24,0.07,9.45,0.65,0.00,0.00,0.00,0.00,71.88,71.88,0.03
0.00,0.99,81.61,0.00,0.00,-6.58,-0.00,0.00,0.00,0.00,0.25,0.53,0.12,0.00,-1.22,-0.00,0.04,3.96,0.17,0.23,1.05,0.25,0.07,9.45,0.65,0.00,0.00,0.00,0.00,96.41,96.41,0.00
0.00,1.00,72.24,0.00,0.00,-7.10,-0.00,0.00,0.00,0.00,0.25,1.20,0.28,0.05,-0.17,-0.01,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,0.00,104.75,104.75,0.00
0.00,1.00,80.52,0.00,0.00,-7.10,-0.00,0.00,0.00,0.00,0.25,1.20,0.28,0.05,-0.17,-0.01,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,0.00,99.75,99.75,0.00
0.44,1.00,84.05,33.92,0.00,-7.10,-0.00,0.00,0.00,0.00,0.25,1.20,0.28,0.05,-0.17,-0.01,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,1.00,97.00,97.00,1.70
0.00,0.12,65.21,0.00,0.00,-7.10,-0.00,0.00,0.00,0.00,0.25,1.20,0.28,0.03,-0.17,-0.00,0.04,5.69,0.24,0.25,1.99,0.49,0.06,10.61,0.61,0.00,0.00,0.00,1.00,98.00,98.00,0.00
0.00,0.13,67.98,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.83,-0.00,0.04,4.63,0.19,0.25,1.30,0.32,0.06,8.50,0.49,0.00,0.00,0.00,1.00,104.16,104.16,0.00
0.00,0.13,69.55,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.83,-0.00,0.04,4.63,0.19,0.25,1.30,0.32,0.06,8.50,0.49,0.00,0.00,0.00,1.00,64.03,64.03,0.00
0.00,0.13,59.27,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.83,-0.00,0.04,4.63,0.19,0.25,1.30,0.32,0.06,8.50,0.49,0.00,0.00,0.00,1.00,33.00,33.00,0.00
0.00,0.14,52.00,0.00,0.00,-4.75,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.83,-0.00,0.04,4.63,0.19,0.25,1.30,0.32,0.06,8.50,0.49,0.00,0.00,0.00,0.00,32.00,32.00,0.00
0.00,0.14,47.46,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.48,-0.00,0.04,2.48,0.10,0.25,0.55,0.14,0.04,7.43,0.28,0.00,0.00,0.00,0.00,126.00,126.00,0.00
0.00,0.14,60.34,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.48,-0.00,0.04,2.48,0.10,0.25,0.55,0.14,0.04,7.43,0.28,0.00,0.00,0.00,0.00,105.80,105.80,0.00
0.00,0.14,59.00,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.48,-0.00,0.04,2.48,0.10,0.25,0.55,0.14,0.04,7.43,0.28,0.00,0.00,0.00,0.00,91.68,91.68,0.00
