BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.04,1.00,57.60,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,5.16,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.16,0.00,0.00,11.25,11.25,0.09
0.00,1.00,56.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,40.80,40.80,0.00
0.00,1.00,60.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,60.05,60.05,0.00
0.00,1.00,62.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,77.50,77.50,0.00
0.00,1.00,61.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.40,1.57,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,4.00,1.52,0.00,88.50,88.50,0.00
-0.05,1.00,62.02,-3.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.80,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.80,7.39,0.00,88.20,88.20,0.06
-0.05,1.00,61.83,-3.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.80,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.80,7.39,0.00,91.40,91.40,0.07
-0.05,1.00,61.49,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.80,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.80,7.39,0.00,82.63,82.63,0.05
-0.05,1.00,60.06,-2.93,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.80,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.80,7.39,0.00,85.47,85.47,0.06
-0.05,1.00,60.11,-2.93,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,12.00,10.08,0.00,91.55,91.55,0.08
-0.05,1.00,73.92,-3.61,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,12.00,10.08,0.00,43.87,43.87,0.07
0.00,1.00,100.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,12.00,10.08,0.00,43.91,43.91,0.00
0.00,0.91,83.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,12.00,9.58,0.00,44.03,44.03,0.00
