BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,0.10,149.92,0.00,0.00,0.00,0.00,0.35,1.96,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.88,0.21,0.39,2.55,1.00,0.01,10.40,0.11,0.00,0.00,0.00,0.00,212.00,212.00,0.00
-1.00,0.10,94.88,-94.88,0.00,0.00,0.00,0.00,5.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,-0.00,2.55,-0.00,-0.00,11.60,-0.00,0.00,0.00,0.00,0.00,210.00,210.00,11.51
-1.00,0.33,87.80,-87.80,0.00,0.00,0.00,0.40,5.45,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.20,0.00,2.55,0.00,-0.00,11.60,-0.00,0.00,0.00,0.00,0.00,208.50,208.50,12.07
-1.00,0.56,98.23,-98.23,0.00,0.00,0.00,0.40,5.45,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.20,0.00,2.55,0.00,-0.00,11.60,-0.00,0.00,0.00,0.00,0.00,221.75,221.75,12.35
-0.93,0.79,118.37,-110.25,0.00,0.00,0.00,0.40,5.45,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.20,0.06,2.55,0.15,0.01,11.60,0.13,0.00,0.00,0.00,0.00,172.50,172.50,5.04
-0.00,1.00,147.20,-0.03,0.00,0.00,0.00,0.29,0.80,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,6.40,0.22,0.33,2.55,0.83,0.01,14.28,0.16,0.00,0.00,0.00,0.00,40.00,40.00,0.00
-0.00,1.00,147.40,-0.03,0.00,0.00,0.00,0.29,0.80,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,6.40,0.22,0.33,2.55,0.83,0.01,14.28,0.16,0.00,0.00,0.00,0.00,215.00,215.00,0.00
0.00,1.00,157.90,0.00,0.00,0.00,0.00,0.29,0.80,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,6.40,0.22,0.33,2.55,0.83,0.01,14.28,0.16,0.00,0.00,0.00,0.00,142.50,142.50,0.00
0.00,1.00,162.99,0.00,0.00,0.00,0.00,0.29,0.80,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,6.40,0.22,0.33,2.55,0.83,0.01,14.28,0.16,0.00,0.00,0.00,0.00,215.00,215.00,0.00
0.00,1.00,162.63,0.00,0.00,0.00,0.00,0.21,0.53,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,7.50,0.24,0.25,1.28,0.31,0.01,17.40,0.19,0.00,0.00,0.00,0.00,124.50,124.50,0.00
